millis,stamp,datetime,soilmoisture
1800999,1565961060,2019/8/28 19:08:53,586
3601999,1565961060,2019/8/28 19:38:55,595
5402999,1565961060,2019/8/28 20:08:57,599
7203999,1565961060,2019/8/28 20:38:59,600
9004999,1565961060,2019/8/28 21:09:01,602
10805999,1565961060,2019/8/28 21:39:03,604
12606999,1565961060,2019/8/28 22:09:01,603
14407999,1565961060,2019/8/28 22:39:07,601
16208999,1565961060,2019/8/28 23:09:09,597
18009999,1565961060,2019/8/28 23:39:11,560
1800998,1565961060,2019/8/28 0:09:13,553
3601999,1565961060,2019/8/28 1:11:49,549
5402999,1565961060,2019/8/28 1:41:51,542
7203999,1565961060,2019/8/28 2:11:53,530
9004999,1565961060,2019/8/28 2:41:55,511
10805999,1565961060,2019/8/28 3:11:57,500
12606999,1565961060,2019/8/28 3:41:59,497
14407999,1565961060,2019/8/28 4:12:01,493
16208999,1565961060,2019/8/28 4:42:03,494
18009999,1565961060,2019/8/28 19:08:53,494
19810999,1565961060,2019/8/28 5:42:07,494
21611999,1565961060,2019/8/28 6:12:09,494
23412999,1565961060,2019/8/28 6:42:11,494
25214000,1565961060,2019/8/28 7:12:13,492
27014999,1565961060,2019/8/28 7:42:42,492